region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
159,34.6391924204,34.0863004604,-0.5528919600,0.2,7829
160,9.3496073132,10.4302543686,1.0806470554,0.2,7829
161,4.9980828279,7.8499865867,2.8519037588,0.2,7829
162,1.3972428700,1.4623010727,0.0650582026,0.2,7829
163,76.6998393069,79.1927593893,2.4929200824,0.2,7829
164,9.9535847174,9.9204383654,-0.0331463520,0.2,7829
165,23.5789958629,22.2337323739,-1.3452634891,0.2,7829
166,0.7195256596,0.8474960405,0.1279703809,0.2,7829
167,4.2526538587,4.7122733480,0.4596194893,0.2,7829
168,5.4142578766,5.6052861662,0.1910282897,0.2,7829
169,1.4345782093,1.8066000609,0.3720218516,0.2,7829
170,161.5223417072,169.6864362701,8.1640945629,0.2,7829
171,4.7141978146,5.0464319059,0.3322340913,0.2,7829
172,19.8068742820,20.8619978193,1.0551235373,0.2,7829
173,11.7931786123,13.1418159516,1.3486373393,0.2,7829
174,14.3109134553,13.4941575511,-0.8167559042,0.2,7829
175,6.7955065438,6.7037072869,-0.0917992569,0.2,7829
176,15.2931105990,14.6524200400,-0.6406905590,0.2,7829
177,33.2550274796,34.1110333375,0.8560058579,0.2,7829
178,3.9785653100,3.8916261882,-0.0869391218,0.2,7829
179,0.7024171517,0.8032828053,0.1008656536,0.2,7829
180,0.5042504001,0.4825073477,-0.0217430524,0.2,7829
181,27.2953554774,29.0292153496,1.7338598722,0.2,7829
182,3.5516765471,3.4405477419,-0.1111288052,0.2,7829
183,27.8951534593,27.3885628230,-0.5065906363,0.2,7829
184,7.3068036929,7.0260411053,-0.2807625876,0.2,7829
185,0.1741828014,0.1741828014,0.0000000000,0.2,7829
186,70.6466434957,79.9986554197,9.3520119240,0.2,7829
187,33.7398175358,33.1473890985,-0.5924284373,0.2,7829
188,9.7825884755,9.7355081275,-0.0470803480,0.2,7829
189,0.3826409362,0.3427076714,-0.0399332648,0.2,7829
190,7.8750967146,10.2788222221,2.4037255075,0.2,7829
191,4.0751117110,3.3656492063,-0.7094625048,0.2,7829
192,22.2803689477,24.2387704295,1.9584014818,0.2,7829
